iter	Passed	Remaining
0	579	579397
1	581	289974
2	581	193328
3	582	145002
4	582	116009
5	583	96678
6	584	82872
7	584	72516
8	585	64463
9	585	58011
10	586	52740
11	587	48344
12	587	44632
13	595	41907
14	595	39120
15	596	36681
16	597	34528
17	597	32623
18	598	30905
19	599	29360
20	599	27964
21	600	26691
22	601	25538
23	601	24473
24	602	23493
25	602	22588
26	608	21932
27	609	21156
28	610	20431
29	610	19750
30	611	19112
31	612	18518
32	612	17957
33	613	17429
34	614	16931
35	614	16460
36	615	16027
37	616	15606
38	617	15206
39	617	14825
40	624	14616
41	625	14270
42	626	13939
43	626	13622
44	627	13318
45	628	13031
46	629	12754
47	629	12489
48	630	12235
49	631	11992
50	631	11757
51	636	11599
52	637	11384
53	637	11175
54	638	10972
55	639	10778
56	640	10588
57	640	10408
58	641	10233
59	642	10062
60	642	9897
61	643	9740
62	644	9585
63	645	9435
64	645	9289
65	646	9148
66	654	9120
67	656	8991
68	656	8861
69	657	8733
70	657	8609
71	658	8488
72	659	8370
73	660	8260
74	660	8148
75	661	8040
76	661	7934
77	662	7831
78	667	7779
79	667	7681
80	669	7592
81	669	7497
82	670	7405
83	671	7317
84	671	7231
85	672	7147
86	673	7064
87	673	6983
88	674	6903
89	675	6825
90	675	6748
91	676	6674
92	677	6602
93	684	6593
94	684	6524
95	685	6455
96	686	6387
97	686	6320
98	687	6256
99	688	6192
100	688	6128
101	689	6067
102	689	6006
103	690	5947
104	690	5888
105	691	5831
106	692	5775
107	692	5719
108	698	5706
109	699	5656
110	699	5604
111	700	5553
112	701	5503
113	701	5453
114	702	5404
115	702	5356
116	703	5309
117	704	5262
118	704	5218
119	705	5174
120	706	5130
121	706	5087
122	707	5044
123	708	5002
124	715	5008
125	716	4967
126	716	4927
127	717	4887
128	718	4848
129	718	4809
130	719	4770
131	719	4733
132	720	4695
133	720	4659
134	721	4622
135	722	4587
136	722	4552
137	723	4519
138	728	4509
139	728	4476
140	729	4443
141	730	4411
142	730	4379
143	731	4346
144	731	4315
145	732	4286
146	733	4256
147	734	4225
148	734	4195
149	735	4165
150	735	4136
151	736	4107
152	736	4079
153	737	4050
154	737	4022
155	738	3994
156	746	4005
157	746	3979
158	747	3953
159	748	3927
160	748	3902
161	749	3877
162	750	3852
163	750	3827
164	751	3804
165	752	3780
166	753	3756
167	753	3732
168	754	3708
169	758	3704
170	759	3682
171	760	3661
172	761	3639
173	761	3617
174	762	3595
175	763	3573
176	763	3551
177	764	3530
178	765	3508
179	765	3487
180	766	3467
181	766	3446
182	767	3426
183	768	3406
184	768	3386
185	776	3396
186	776	3378
187	777	3358
188	778	3340
189	779	3322
190	780	3303
191	780	3285
192	781	3266
193	781	3248
194	782	3230
195	783	3212
196	783	3194
197	784	3176
198	784	3158
199	790	3161
200	791	3145
201	791	3127
202	792	3110
203	792	3093
204	793	3077
205	794	3060
206	794	3044
207	795	3027
208	795	3011
209	796	2995
210	797	2980
211	797	2965
212	798	2949
213	798	2934
214	799	2919
215	800	2904
216	807	2915
217	808	2901
218	809	2886
219	809	2871
220	810	2856
221	811	2842
222	811	2828
223	812	2813
224	812	2799
225	813	2785
226	813	2771
227	814	2758
228	815	2744
229	820	2745
230	821	2733
231	821	2719
232	822	2706
233	822	2693
234	823	2680
235	824	2667
236	824	2654
237	825	2642
238	825	2629
239	826	2617
240	827	2604
241	827	2592
242	828	2580
243	828	2567
244	829	2555
245	830	2544
246	830	2532
247	838	2541
248	838	2529
249	839	2517
250	839	2505
251	840	2494
252	840	2482
253	841	2471
254	842	2460
255	842	2448
256	843	2438
257	844	2427
258	844	2416
259	845	2406
260	846	2396
261	850	2396
262	851	2386
263	852	2377
264	853	2367
265	854	2357
266	854	2346
267	855	2336
268	856	2326
269	856	2316
270	857	2306
271	857	2296
272	858	2286
273	859	2276
274	859	2267
275	860	2257
276	867	2265
277	868	2256
278	869	2246
279	869	2237
280	870	2227
281	871	2218
282	872	2209
283	872	2200
284	873	2190
285	873	2181
286	874	2172
287	875	2163
288	875	2154
289	876	2145
290	876	2135
291	882	2139
292	882	2130
293	883	2121
294	883	2112
295	884	2103
296	885	2094
297	885	2086
298	886	2078
299	887	2070
300	887	2062
301	888	2053
302	889	2046
303	890	2037
304	890	2029
305	891	2021
306	891	2013
307	893	2007
308	894	1999
309	894	1991
310	895	1983
311	895	1975
312	896	1967
313	897	1960
314	897	1952
315	898	1944
316	898	1936
317	899	1929
318	900	1921
319	900	1913
320	901	1906
321	906	1908
322	907	1901
323	907	1894
324	908	1886
325	909	1879
326	909	1872
327	910	1866
328	911	1859
329	912	1851
330	912	1844
331	913	1838
332	914	1830
333	914	1824
334	915	1817
335	916	1810
336	923	1816
337	924	1809
338	924	1803
339	925	1796
340	926	1789
341	926	1782
342	927	1776
343	928	1769
344	928	1763
345	929	1757
346	930	1750
347	930	1743
348	931	1737
349	931	1730
350	936	1731
351	937	1725
352	938	1719
353	939	1713
354	939	1707
355	940	1701
356	940	1694
357	941	1688
358	942	1682
359	942	1675
360	943	1669
361	943	1663
362	944	1656
363	944	1650
364	945	1644
365	945	1638
366	946	1632
367	953	1637
368	954	1631
369	954	1625
370	955	1619
371	956	1613
372	956	1608
373	957	1602
374	958	1597
375	958	1591
376	959	1585
377	959	1579
378	960	1573
379	961	1568
380	961	1562
381	962	1556
382	967	1559
383	968	1553
384	969	1547
385	969	1542
386	970	1536
387	970	1531
388	971	1525
389	972	1520
390	972	1514
391	973	1509
392	973	1503
393	974	1498
394	974	1493
395	975	1488
396	976	1482
397	976	1477
398	977	1472
399	985	1478
400	986	1474
401	987	1469
402	988	1464
403	988	1458
404	989	1453
405	990	1448
406	990	1443
407	991	1438
408	992	1433
409	993	1428
410	997	1429
411	998	1424
412	999	1420
413	999	1415
414	1000	1410
415	1001	1405
416	1001	1400
417	1002	1396
418	1003	1391
419	1004	1386
420	1004	1381
421	1005	1376
422	1005	1372
423	1006	1367
424	1007	1362
425	1007	1357
426	1008	1353
427	1015	1357
428	1016	1352
429	1016	1347
430	1017	1343
431	1018	1338
432	1018	1334
433	1019	1329
434	1020	1325
435	1021	1320
436	1021	1316
437	1022	1311
438	1023	1307
439	1023	1302
440	1028	1303
441	1029	1299
442	1030	1295
443	1031	1291
444	1031	1286
445	1032	1282
446	1033	1278
447	1033	1273
448	1034	1269
449	1034	1264
450	1035	1260
451	1036	1256
452	1036	1251
453	1037	1247
454	1038	1243
455	1038	1239
456	1046	1242
457	1046	1238
458	1047	1234
459	1048	1230
460	1048	1226
461	1049	1222
462	1050	1218
463	1051	1214
464	1051	1209
465	1052	1205
466	1052	1201
467	1053	1197
468	1054	1193
469	1054	1189
470	1057	1187
471	1058	1183
472	1058	1179
473	1059	1175
474	1059	1171
475	1060	1167
476	1061	1163
477	1061	1159
478	1062	1155
479	1062	1151
480	1063	1147
481	1063	1143
482	1064	1139
483	1065	1135
484	1065	1131
485	1066	1127
486	1067	1124
487	1074	1127
488	1075	1123
489	1075	1119
490	1076	1115
491	1076	1111
492	1077	1108
493	1077	1104
494	1078	1100
495	1079	1096
496	1079	1092
497	1080	1088
498	1080	1085
499	1081	1081
500	1081	1077
501	1082	1073
502	1087	1074
503	1088	1071
504	1089	1067
505	1089	1063
506	1090	1060
507	1090	1056
508	1091	1052
509	1091	1049
510	1092	1045
511	1093	1042
512	1093	1038
513	1094	1034
514	1095	1031
515	1095	1027
516	1096	1024
517	1096	1020
518	1097	1016
519	1097	1013
520	1098	1009
521	1099	1006
522	1099	1002
523	1100	999
524	1100	996
525	1101	992
526	1101	989
527	1102	985
528	1103	982
529	1104	979
530	1104	975
531	1105	972
532	1105	968
533	1106	965
534	1111	965
535	1112	962
536	1113	959
537	1113	956
538	1114	953
539	1114	949
540	1115	946
541	1116	943
542	1116	939
543	1117	936
544	1117	933
545	1118	929
546	1118	926
547	1119	923
548	1120	920
549	1120	916
550	1121	913
551	1128	915
552	1129	912
553	1129	909
554	1130	906
555	1131	903
556	1131	900
557	1132	897
558	1132	893
559	1133	890
560	1134	887
561	1134	884
562	1135	881
563	1135	878
564	1136	874
565	1136	871
566	1142	872
567	1143	869
568	1143	866
569	1144	863
570	1145	860
571	1145	857
572	1146	854
573	1146	851
574	1147	848
575	1148	845
576	1148	842
577	1149	839
578	1149	836
579	1150	833
580	1151	830
581	1152	827
582	1159	829
583	1160	826
584	1160	823
585	1161	820
586	1161	817
587	1162	814
588	1162	811
589	1163	808
590	1164	805
591	1164	802
592	1165	799
593	1165	796
594	1166	793
595	1166	791
596	1167	788
597	1170	787
598	1171	784
599	1172	781
600	1173	778
601	1173	775
602	1174	773
603	1174	770
604	1175	767
605	1176	764
606	1176	761
607	1177	759
608	1178	756
609	1178	753
610	1179	750
611	1179	747
612	1180	745
613	1180	742
614	1181	739
615	1182	736
616	1182	734
617	1189	735
618	1189	732
619	1190	729
620	1190	726
621	1191	724
622	1191	721
623	1192	718
624	1193	715
625	1193	713
626	1194	710
627	1194	707
628	1195	705
629	1196	702
630	1196	699
631	1197	697
632	1197	694
633	1199	692
634	1199	689
635	1200	687
636	1201	684
637	1201	681
638	1202	679
639	1202	676
640	1203	674
641	1204	671
642	1205	669
643	1205	666
644	1206	663
645	1206	661
646	1207	658
647	1207	656
648	1208	653
649	1209	651
650	1209	648
651	1210	645
652	1210	643
653	1211	640
654	1211	638
655	1212	635
656	1215	634
657	1216	632
658	1217	629
659	1217	627
660	1218	624
661	1219	622
662	1219	619
663	1220	617
664	1220	614
665	1221	612
666	1222	610
667	1222	607
668	1223	605
669	1224	602
670	1224	600
671	1225	597
672	1225	595
673	1226	593
674	1226	590
675	1227	588
676	1228	586
677	1228	583
678	1229	581
679	1230	579
680	1231	576
681	1232	574
682	1232	572
683	1233	569
684	1233	567
685	1234	565
686	1234	562
687	1235	560
688	1236	557
689	1236	555
690	1237	553
691	1237	550
692	1238	548
693	1238	546
694	1239	543
695	1240	541
696	1240	539
697	1241	537
698	1242	534
699	1245	533
700	1246	531
701	1246	529
702	1247	526
703	1247	524
704	1248	522
705	1249	520
706	1249	517
707	1250	515
708	1251	513
709	1251	511
710	1252	508
711	1252	506
712	1253	504
713	1253	502
714	1254	500
715	1255	497
716	1255	495
717	1256	493
718	1256	491
719	1258	489
720	1258	487
721	1259	485
722	1260	482
723	1261	480
724	1261	478
725	1262	476
726	1263	474
727	1263	472
728	1264	469
729	1264	467
730	1265	465
731	1266	463
732	1266	461
733	1267	459
734	1268	457
735	1268	455
736	1269	452
737	1269	450
738	1270	448
739	1271	446
740	1271	444
741	1274	443
742	1276	441
743	1276	439
744	1277	437
745	1277	435
746	1278	433
747	1279	430
748	1279	428
749	1280	426
750	1281	424
751	1282	422
752	1282	420
753	1283	418
754	1284	416
755	1285	414
756	1285	412
757	1286	410
758	1286	408
759	1287	406
760	1288	404
761	1289	402
762	1290	400
763	1290	398
764	1291	396
765	1292	394
766	1292	392
767	1293	390
768	1294	388
769	1294	386
770	1295	384
771	1296	382
772	1296	380
773	1297	378
774	1297	376
775	1298	374
776	1299	372
777	1299	370
778	1300	368
779	1300	366
780	1301	364
