iter	Passed	Remaining
0	350	349975
1	351	175176
2	351	116893
3	352	87730
4	352	70243
5	353	58588
6	354	50264
7	354	44016
8	355	39163
9	356	35276
10	356	32094
11	357	29446
12	358	27203
13	358	25278
14	362	23810
15	363	22343
16	364	21047
17	364	19890
18	365	18855
19	365	17921
20	366	17078
21	367	16316
22	367	15619
23	368	14977
24	368	14388
25	369	13844
26	370	13339
27	370	12871
28	371	12451
29	372	12044
30	373	11662
31	377	11413
32	378	11081
33	378	10767
34	379	10468
35	380	10185
36	381	9928
37	382	9678
38	382	9437
39	383	9209
40	384	8989
41	385	8783
42	385	8585
43	386	8395
44	386	8212
45	387	8038
46	390	7927
47	392	7775
48	392	7622
49	393	7476
50	394	7336
51	394	7199
52	395	7068
53	396	6941
54	396	6819
55	397	6703
56	398	6592
57	399	6482
58	399	6375
59	400	6272
60	400	6172
61	401	6074
62	406	6039
63	407	5953
64	407	5866
65	408	5780
66	409	5696
67	409	5614
68	410	5536
69	410	5460
70	411	5389
71	412	5317
72	413	5248
73	413	5180
74	414	5112
75	415	5047
76	415	4984
77	416	4922
78	417	4867
79	421	4850
80	422	4794
81	423	4738
82	423	4680
83	424	4628
84	425	4576
85	425	4526
86	426	4475
87	427	4427
88	427	4379
89	428	4331
90	428	4285
91	429	4239
92	430	4195
93	430	4151
94	431	4109
95	435	4103
96	436	4062
97	436	4021
98	437	3981
99	438	3943
100	438	3904
101	439	3867
102	439	3831
103	440	3795
104	441	3762
105	442	3729
106	442	3696
107	443	3663
108	444	3630
109	444	3597
110	445	3566
111	445	3535
112	446	3504
113	447	3477
114	448	3448
115	448	3419
116	449	3390
117	449	3362
118	450	3334
119	451	3307
120	451	3281
121	452	3254
122	452	3228
123	453	3203
124	454	3178
125	454	3153
126	455	3128
127	455	3104
128	456	3080
129	456	3057
130	457	3035
131	458	3012
132	462	3012
133	462	2992
134	463	2971
135	464	2951
136	465	2930
137	466	2911
138	467	2893
139	467	2873
140	468	2854
141	468	2833
142	469	2813
143	470	2794
144	470	2775
145	471	2756
146	471	2738
147	472	2720
148	473	2703
149	474	2688
150	475	2671
151	475	2654
152	476	2637
153	477	2620
154	477	2603
155	478	2587
156	478	2571
157	479	2555
158	480	2539
159	480	2524
160	481	2507
161	481	2492
162	482	2477
163	483	2462
164	483	2447
165	484	2433
166	484	2418
167	488	2419
168	489	2406
169	490	2393
170	491	2380
171	491	2367
172	492	2354
173	493	2342
174	494	2329
175	494	2316
176	495	2303
177	496	2291
178	496	2278
179	497	2267
180	498	2255
181	499	2243
182	499	2231
183	504	2238
184	505	2226
185	506	2214
186	506	2202
187	507	2190
188	507	2178
189	508	2167
190	509	2156
191	509	2144
192	510	2133
193	510	2122
